Validation report
Format: glTF 2.0
Generator: mc GltfExporter Phase11
Stats:
174 draw calls
1 animations
7 materials
245691 vertices
124023 triangles
Extensions:
None
Report generated byKhronosGroup/glTF-Validator 2.0.0-dev.3.10.

Error	Message	Pointer
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/0/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/1/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/2/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/3/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/4/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/5/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/6/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/7/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/8/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/9/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/10/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/11/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/12/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/13/input
